Qty;Value;Device;MOUSER_REF;Parts;Package;Description
1;;FAN 120x120mm;CFM-A225-13-10;FAN;;Ventilateurs CC Ventilateurs CC DCFan 126.89CFM9.48W 12V 120x120x25.4mmAR
1;;1,6/0,8;254-EMB140-RO;BUZZER PAD1;1,6/0,8;THROUGH-HOLE PAD
1;;1,6/0,8;254-EMB140-RO;BUZZER PAD2;1,6/0,8;THROUGH-HOLE PAD
4;;DIODESOD-123;1N4148W-7-F;D1, D2, D3, D4;SOD-123;Diode
4;;INDUCTOR0603;BLM18PG471SN1D;L1, L2, L3, L4;L0603;Inductors
1;;M05X2SHD-NS;;DISPLAY;2X5-SHROUDED-NS;Header 5x2
2;0.1uF;0.1UF-0603-25V-5%;VJ0603Y104JXJPW1BC;C3, C7;L0603;0.1µF ceramic capacitors
1;100R;R-EU_0207/5V;273-100-RC;R1;0207/5V;RESISTOR, European symbol
2;100n;C-EU025-025X050;R71VF3100AA30K;C9, C10;C025-025X050;CAPACITOR, European symbol
1;100n;CXXC10B5;R46KF310000M1M;C1;XC10B5;X CAPACITOR
4;10k;R-EU_R0603;WCR0603-10KFA;R8, R9, R10, R11;R0603;RESISTOR, European symbol
1;10n;C-EUC0603;C0603C103K4RACTM;C6;C0603;CAPACITOR, European symbol
1;10n;C-EUC0603;C0603C103K4RACTM;C8;C0603;CAPACITOR, European symbol
3;10µ;CPOL-EUC/6032-28R;T491C106K025AT7280;C4, C5, C11;C/6032-28R;POLARIZED CAPACITOR, European symbol
2;120R;R-EU_R0603;RC0603FR-07120RL;R3, R4;R0603;RESISTOR, European symbol
2;3.3k;R-EU_R0603;RC0603FR-073K3L;R2, R13;R0603;RESISTOR, European symbol
4;47k;R-EU_0207/5V;273-47K-RC;R5, R6, R7, R12;0207/5V;RESISTOR, European symbol
1;4P-2.0;GROVE-CONNECTOR-DIP(4P-2.0);;ENC;HW4-2.0;320110033
1;AQZ205D;AQZ205D;AQZ205;K3;AQZ-SIL04;PhotoMOS Relay NAiS
1;ARDUINO_PRO_MICRO;ARDUINO_PRO_MICRO;;A1;ARDUINO_PRO_MICRO;SparkFun Pro Micro 5V/16MHz
1;FAN;LEDCHIP-LED0603;APA3010QBC/D-GX;LD2;CHIP-LED0603;LED
2;H11A1SM;H11A1SM;H11AA1-X009T;OC1, OC2;DIL6-SMD;General Purpose 6-Pin Phototransistor Optocouplers
1;HEAT;LEDCHIP-LED0603;APA3010QBC/D-GX;LD1;CHIP-LED0603;LED
1;IRM-10-12;IRM-10-12;IRM-10-12;PWR-MOD;IRM-10-12;Power Supply IRM-10-12
1;LP298XS;LP298XS;LP2985-33DBVR;IC3;SOT23-5L;
2;MAX31855;MAX31855;MAX31855KASA+;IC1, IC2;SOIC8;
1;MIC5201-5;MIC5201-5;MIC2920A-5.0WS;IC4;SOT-223;Micrel MIC5201 200mA Low-Dropout Regulator
5;MKDSN1,5/2-5,08;MKDSN1,5/2-5,08;1715721;AC_220V, FAN, HEAT_BED, TC1, TC2;MKDSN1,5/2-5,08;MKDSN 1,5/ 2-5,08 Printklemme
1;PF240D25;PF240D25;PF240D25;K1;PF240XX;PF Series
2;TPTP08R;TPTP08R;;3V3, 5V;TP08R;Test pad